FullGeoName,YEAR,STATE_NAME,STATE_ABBREV,COUNTY_NAME,STATE_COUNTY_FIP_U,opioid_dispensing_rate,Opioid Dispensing Rate (per 100 persons)
"VA, Bland",2020,Virginia,VA,Bland County,51021,83.9,>49.8
"VA, Dickenson",2021,Virginia,VA,Dickenson County,51051,83,>49.8
"VA, Colonial Heights Cit",2019,Virginia,VA,Colonial Heights city,51570,82.7,>49.8
"VA, Danville City",2019,Virginia,VA,Danville city,51590,80.8,>49.8
"VA, Harrisonburg City",2020,Virginia,VA,Harrisonburg city,51660,80.8,>49.8
"VA, Harrisonburg City",2022,Virginia,VA,Harrisonburg city,51660,80.7,>49.8
"VA, Dickenson",2020,Virginia,VA,Dickenson County,51051,80,>49.8
"VA, Essex",2019,Virginia,VA,Essex County,51057,79.2,>49.8
"VA, Wise",2021,Virginia,VA,Wise County,51195,79.1,>49.8
"VA, Roanoke City",2022,Virginia,VA,Roanoke city,51770,79.1,>49.8
"VA, Tazewell",2019,Virginia,VA,Tazewell County,51185,79,>49.8
"VA, Wise",2023,Virginia,VA,Wise County,51195,77.7,>49.8
"VA, Bland",2021,Virginia,VA,Bland County,51021,77.6,>49.8
"VA, Buchanan",2023,Virginia,VA,Buchanan County,51027,77.4,>49.8
"VA, Galax City",2021,Virginia,VA,Galax city,51640,76.4,>49.8
"VA, Wise",2022,Virginia,VA,Wise County,51195,76.1,>49.8
"VA, Galax City",2022,Virginia,VA,Galax city,51640,76.1,>49.8
"VA, Roanoke",2023,Virginia,VA,Roanoke County,51161,75.7,>49.8
"VA, Buchanan",2022,Virginia,VA,Buchanan County,51027,75.5,>49.8
"VA, Manassas City",2021,Virginia,VA,Manassas city,51683,75.1,>49.8
"VA, Northampton",2019,Virginia,VA,Northampton County,51131,74,>49.8
"VA, Roanoke",2020,Virginia,VA,Roanoke County,51161,73.1,>49.8
"VA, Buchanan",2020,Virginia,VA,Buchanan County,51027,72.7,>49.8
"VA, Roanoke",2022,Virginia,VA,Roanoke County,51161,72.3,>49.8
"VA, Franklin City",2019,Virginia,VA,Franklin city,51620,72.2,>49.8
"VA, Norfolk City",2019,Virginia,VA,Norfolk city,51710,72.1,>49.8
"VA, Buchanan",2021,Virginia,VA,Buchanan County,51027,71.7,>49.8
"VA, Norfolk City",2020,Virginia,VA,Norfolk city,51710,71.2,>49.8
"VA, Manassas City",2022,Virginia,VA,Manassas city,51683,70.9,>49.8
"VA, Tazewell",2020,Virginia,VA,Tazewell County,51185,70.8,>49.8
"VA, Manassas City",2020,Virginia,VA,Manassas city,51683,70.6,>49.8
"VA, Dickenson",2023,Virginia,VA,Dickenson County,51051,69.9,>49.8
"VA, Fairfax City",2022,Virginia,VA,Fairfax city,51600,69.3,>49.8
"VA, Colonial Heights Cit",2020,Virginia,VA,Colonial Heights city,51570,69.1,>49.8
"VA, Russell",2020,Virginia,VA,Russell County,51167,68.9,>49.8
"VA, Roanoke",2021,Virginia,VA,Roanoke County,51161,68.7,>49.8
"VA, Manassas City",2023,Virginia,VA,Manassas city,51683,68,>49.8
"VA, Roanoke City",2023,Virginia,VA,Roanoke city,51770,68,>49.8
"VA, Fairfax City",2023,Virginia,VA,Fairfax city,51600,67.2,>49.8
"VA, Fairfax City",2019,Virginia,VA,Fairfax city,51600,67,>49.8
"VA, Norfolk City",2021,Virginia,VA,Norfolk city,51710,67,>49.8
"VA, Buchanan",2019,Virginia,VA,Buchanan County,51027,66.7,>49.8
"VA, Tazewell",2022,Virginia,VA,Tazewell County,51185,66.2,>49.8
"VA, Wise",2020,Virginia,VA,Wise County,51195,66.2,>49.8
"VA, Norfolk City",2023,Virginia,VA,Norfolk city,51710,65.4,>49.8
"VA, Tazewell",2023,Virginia,VA,Tazewell County,51185,64.7,>49.8
"VA, Lee",2019,Virginia,VA,Lee County,51105,64.4,>49.8
"VA, Danville City",2020,Virginia,VA,Danville city,51590,63.8,>49.8
"VA, Wise",2019,Virginia,VA,Wise County,51195,63.1,>49.8
"VA, Northampton",2020,Virginia,VA,Northampton County,51131,63,>49.8
"VA, Fairfax City",2021,Virginia,VA,Fairfax city,51600,63,>49.8
"VA, Essex",2020,Virginia,VA,Essex County,51057,62.7,>49.8
"VA, Alleghany",2019,Virginia,VA,Alleghany County,51005,62.6,>49.8
"VA, Norfolk City",2022,Virginia,VA,Norfolk city,51710,62.6,>49.8
"VA, Northampton",2021,Virginia,VA,Northampton County,51131,61.6,>49.8
"VA, Newport News City",2019,Virginia,VA,Newport News city,51700,61.5,>49.8
"VA, Danville City",2021,Virginia,VA,Danville city,51590,61,>49.8
"VA, Tazewell",2021,Virginia,VA,Tazewell County,51185,60.5,>49.8
"VA, Russell",2021,Virginia,VA,Russell County,51167,60.3,>49.8
"VA, Petersburg City",2019,Virginia,VA,Petersburg city,51730,60.2,>49.8
"VA, Richmond City",2021,Virginia,VA,Richmond city,51760,60.2,>49.8
"VA, Lee",2020,Virginia,VA,Lee County,51105,59.9,>49.8
"VA, Northampton",2022,Virginia,VA,Northampton County,51131,59.9,>49.8
"VA, Portsmouth City",2019,Virginia,VA,Portsmouth city,51740,59.6,>49.8
"VA, Richmond City",2019,Virginia,VA,Richmond city,51760,58.8,>49.8
"VA, Northampton",2023,Virginia,VA,Northampton County,51131,58.7,>49.8
"VA, Lee",2022,Virginia,VA,Lee County,51105,58.1,>49.8
"VA, Washington",2020,Virginia,VA,Washington County,51191,58,>49.8
"VA, Washington",2019,Virginia,VA,Washington County,51191,57.7,>49.8
"VA, Russell",2019,Virginia,VA,Russell County,51167,57.3,>49.8
"VA, Colonial Heights Cit",2021,Virginia,VA,Colonial Heights city,51570,57.3,>49.8
"VA, Richmond City",2022,Virginia,VA,Richmond city,51760,57.3,>49.8
"VA, Hopewell City",2019,Virginia,VA,Hopewell city,51670,57.2,>49.8
"VA, Lee",2021,Virginia,VA,Lee County,51105,57.1,>49.8
"VA, Russell",2022,Virginia,VA,Russell County,51167,57,>49.8
"VA, Richmond City",2020,Virginia,VA,Richmond city,51760,56.7,>49.8
"VA, Montgomery",2019,Virginia,VA,Montgomery County,51121,56.4,>49.8
"VA, Fairfax City",2020,Virginia,VA,Fairfax city,51600,56.4,>49.8
"VA, Franklin City",2020,Virginia,VA,Franklin city,51620,54.8,>49.8
"VA, Newport News City",2020,Virginia,VA,Newport News city,51700,54.7,>49.8
"VA, Staunton City",2019,Virginia,VA,Staunton city,51790,54.5,>49.8
"VA, Franklin City",2022,Virginia,VA,Franklin city,51620,54.4,>49.8
"VA, Washington",2023,Virginia,VA,Washington County,51191,54.3,>49.8
"VA, Franklin City",2021,Virginia,VA,Franklin city,51620,54.3,>49.8
"VA, Richmond City",2023,Virginia,VA,Richmond city,51760,54.2,>49.8
"VA, Lee",2023,Virginia,VA,Lee County,51105,54.1,>49.8
"VA, Washington",2022,Virginia,VA,Washington County,51191,54,>49.8
"VA, Covington City",2019,Virginia,VA,Covington city,51580,54,>49.8
"VA, Staunton City",2020,Virginia,VA,Staunton city,51790,53.8,>49.8
"VA, Wythe",2021,Virginia,VA,Wythe County,51197,53.6,>49.8
"VA, Bristol City",2023,Virginia,VA,Bristol city,51520,53.2,>49.8
"VA, Danville City",2022,Virginia,VA,Danville city,51590,52.7,>49.8
"VA, Wythe",2020,Virginia,VA,Wythe County,51197,52.5,>49.8
"VA, Washington",2021,Virginia,VA,Washington County,51191,51.8,>49.8
"VA, Radford City",2020,Virginia,VA,Radford city,51750,51.5,>49.8
"VA, Henrico",2019,Virginia,VA,Henrico County,51087,51.4,>49.8
"VA, Newport News City",2021,Virginia,VA,Newport News city,51700,51.4,>49.8
"VA, Franklin City",2023,Virginia,VA,Franklin city,51620,50.9,>49.8
"VA, Danville City",2023,Virginia,VA,Danville city,51590,50.7,>49.8
"VA, Hanover",2019,Virginia,VA,Hanover County,51085,50.1,>49.8
"VA, Amherst",2022,Virginia,VA,Amherst County,51009,49.7,31.4 - 49.8
"VA, Montgomery",2021,Virginia,VA,Montgomery County,51121,49.5,31.4 - 49.8
"VA, Waynesboro City",2019,Virginia,VA,Waynesboro city,51820,49.3,31.4 - 49.8
"VA, Montgomery",2020,Virginia,VA,Montgomery County,51121,49,31.4 - 49.8
"VA, Carroll",2020,Virginia,VA,Carroll County,51035,48.7,31.4 - 49.8
"VA, Mecklenburg",2020,Virginia,VA,Mecklenburg County,51117,48.6,31.4 - 49.8
"VA, Colonial Heights Cit",2022,Virginia,VA,Colonial Heights city,51570,48.6,31.4 - 49.8
"VA, Alleghany",2020,Virginia,VA,Alleghany County,51005,48.5,31.4 - 49.8
"VA, Carroll",2019,Virginia,VA,Carroll County,51035,48.4,31.4 - 49.8
"VA, Mecklenburg",2019,Virginia,VA,Mecklenburg County,51117,48.4,31.4 - 49.8
"VA, Newport News City",2022,Virginia,VA,Newport News city,51700,48.2,31.4 - 49.8
"VA, Hopewell City",2020,Virginia,VA,Hopewell city,51670,47.9,31.4 - 49.8
"VA, Newport News City",2023,Virginia,VA,Newport News city,51700,47.7,31.4 - 49.8
"VA, Colonial Heights Cit",2023,Virginia,VA,Colonial Heights city,51570,47,31.4 - 49.8
"VA, Russell",2023,Virginia,VA,Russell County,51167,46.9,31.4 - 49.8
"VA, Albemarle",2019,Virginia,VA,Albemarle County,51003,46.6,31.4 - 49.8
"VA, Henrico",2020,Virginia,VA,Henrico County,51087,46.6,31.4 - 49.8
"VA, Radford City",2021,Virginia,VA,Radford city,51750,46.6,31.4 - 49.8
"VA, Hanover",2020,Virginia,VA,Hanover County,51085,46.4,31.4 - 49.8
"VA, Portsmouth City",2021,Virginia,VA,Portsmouth city,51740,46.4,31.4 - 49.8
"VA, Waynesboro City",2020,Virginia,VA,Waynesboro city,51820,46.4,31.4 - 49.8
"VA, Portsmouth City",2022,Virginia,VA,Portsmouth city,51740,46.2,31.4 - 49.8
"VA, Suffolk City",2021,Virginia,VA,Suffolk city,51800,46,31.4 - 49.8
"VA, Suffolk City",2019,Virginia,VA,Suffolk city,51800,45.9,31.4 - 49.8
"VA, Portsmouth City",2020,Virginia,VA,Portsmouth city,51740,45.7,31.4 - 49.8
"VA, Pulaski",2019,Virginia,VA,Pulaski County,51155,45.5,31.4 - 49.8
"VA, Mecklenburg",2021,Virginia,VA,Mecklenburg County,51117,45.3,31.4 - 49.8
"VA, Henrico",2021,Virginia,VA,Henrico County,51087,45.1,31.4 - 49.8
"VA, Augusta",2019,Virginia,VA,Augusta County,51015,45,31.4 - 49.8
"VA, Staunton City",2021,Virginia,VA,Staunton city,51790,45,31.4 - 49.8
"VA, Petersburg City",2020,Virginia,VA,Petersburg city,51730,44.4,31.4 - 49.8
"VA, Virginia Beach City",2019,Virginia,VA,Virginia Beach city,51810,44.3,31.4 - 49.8
"VA, Radford City",2019,Virginia,VA,Radford city,51750,44.1,31.4 - 49.8
"VA, Lancaster",2019,Virginia,VA,Lancaster County,51103,44,31.4 - 49.8
"VA, Patrick",2019,Virginia,VA,Patrick County,51141,43.7,31.4 - 49.8
"VA, Suffolk City",2020,Virginia,VA,Suffolk city,51800,43.4,31.4 - 49.8
"VA, Hanover",2021,Virginia,VA,Hanover County,51085,43.3,31.4 - 49.8
"VA, Amherst",2023,Virginia,VA,Amherst County,51009,43.2,31.4 - 49.8
"VA, Waynesboro City",2021,Virginia,VA,Waynesboro city,51820,42.9,31.4 - 49.8
"VA, Augusta",2020,Virginia,VA,Augusta County,51015,42.7,31.4 - 49.8
"VA, Henrico",2022,Virginia,VA,Henrico County,51087,42.6,31.4 - 49.8
"VA, Radford City",2023,Virginia,VA,Radford city,51750,42.6,31.4 - 49.8
"VA, Portsmouth City",2023,Virginia,VA,Portsmouth city,51740,42.5,31.4 - 49.8
"VA, Wythe",2019,Virginia,VA,Wythe County,51197,42.3,31.4 - 49.8
"VA, Carroll",2021,Virginia,VA,Carroll County,51035,42.1,31.4 - 49.8
"VA, Hanover",2022,Virginia,VA,Hanover County,51085,42.1,31.4 - 49.8
"VA, Staunton City",2022,Virginia,VA,Staunton city,51790,42.1,31.4 - 49.8
"VA, James City",2019,Virginia,VA,James City County,51095,42,31.4 - 49.8
"VA, Mecklenburg",2022,Virginia,VA,Mecklenburg County,51117,41.6,31.4 - 49.8
"VA, Lancaster",2021,Virginia,VA,Lancaster County,51103,41.5,31.4 - 49.8
"VA, Lancaster",2020,Virginia,VA,Lancaster County,51103,41.4,31.4 - 49.8
"VA, Smyth",2019,Virginia,VA,Smyth County,51173,41.4,31.4 - 49.8
"VA, Hopewell City",2021,Virginia,VA,Hopewell city,51670,41.1,31.4 - 49.8
"VA, Suffolk City",2022,Virginia,VA,Suffolk city,51800,41.1,31.4 - 49.8
"VA, Chesapeake City",2019,Virginia,VA,Chesapeake city,51550,40.9,31.4 - 49.8
"VA, Henrico",2023,Virginia,VA,Henrico County,51087,40.8,31.4 - 49.8
"VA, Page",2019,Virginia,VA,Page County,51139,40.7,31.4 - 49.8
"VA, Appomattox",2019,Virginia,VA,Appomattox County,51011,40.5,31.4 - 49.8
"VA, Mecklenburg",2023,Virginia,VA,Mecklenburg County,51117,40.5,31.4 - 49.8
"VA, Lancaster",2022,Virginia,VA,Lancaster County,51103,40.3,31.4 - 49.8
"VA, Montgomery",2022,Virginia,VA,Montgomery County,51121,40.3,31.4 - 49.8
"VA, Patrick",2020,Virginia,VA,Patrick County,51141,40.2,31.4 - 49.8
"VA, Radford City",2022,Virginia,VA,Radford city,51750,40.2,31.4 - 49.8
"VA, Smyth",2021,Virginia,VA,Smyth County,51173,40.1,31.4 - 49.8
"VA, Patrick",2021,Virginia,VA,Patrick County,51141,40,31.4 - 49.8
"VA, Hanover",2023,Virginia,VA,Hanover County,51085,39.7,31.4 - 49.8
"VA, Gloucester",2022,Virginia,VA,Gloucester County,51073,39.5,31.4 - 49.8
"VA, Alleghany",2021,Virginia,VA,Alleghany County,51005,39.4,31.4 - 49.8
"VA, Staunton City",2023,Virginia,VA,Staunton city,51790,39.3,31.4 - 49.8
"VA, Gloucester",2023,Virginia,VA,Gloucester County,51073,39.1,31.4 - 49.8
"VA, Petersburg City",2021,Virginia,VA,Petersburg city,51730,39,31.4 - 49.8
"VA, James City",2020,Virginia,VA,James City County,51095,38.8,31.4 - 49.8
"VA, Chesterfield",2019,Virginia,VA,Chesterfield County,51041,38.7,31.4 - 49.8
"VA, Smyth",2020,Virginia,VA,Smyth County,51173,38.4,31.4 - 49.8
"VA, Petersburg City",2022,Virginia,VA,Petersburg city,51730,38.4,31.4 - 49.8
"VA, Montgomery",2023,Virginia,VA,Montgomery County,51121,37.9,31.4 - 49.8
"VA, Virginia Beach City",2020,Virginia,VA,Virginia Beach city,51810,37.9,31.4 - 49.8
"VA, Chesapeake City",2020,Virginia,VA,Chesapeake city,51550,37.8,31.4 - 49.8
"VA, Hopewell City",2022,Virginia,VA,Hopewell city,51670,37.8,31.4 - 49.8
"VA, Gloucester",2021,Virginia,VA,Gloucester County,51073,37.3,31.4 - 49.8
"VA, Patrick",2023,Virginia,VA,Patrick County,51141,37.2,31.4 - 49.8
"VA, Smyth",2022,Virginia,VA,Smyth County,51173,36.9,31.4 - 49.8
"VA, Augusta",2021,Virginia,VA,Augusta County,51015,36.8,31.4 - 49.8
"VA, Patrick",2022,Virginia,VA,Patrick County,51141,36.8,31.4 - 49.8
"VA, Waynesboro City",2022,Virginia,VA,Waynesboro city,51820,36.8,31.4 - 49.8
"VA, Lancaster",2023,Virginia,VA,Lancaster County,51103,36.7,31.4 - 49.8
"VA, Albemarle",2020,Virginia,VA,Albemarle County,51003,36.6,31.4 - 49.8
"VA, Chesapeake City",2021,Virginia,VA,Chesapeake city,51550,36.4,31.4 - 49.8
"VA, Page",2020,Virginia,VA,Page County,51139,36.3,31.4 - 49.8
"VA, Gloucester",2020,Virginia,VA,Gloucester County,51073,36.1,31.4 - 49.8
"VA, Chesterfield",2020,Virginia,VA,Chesterfield County,51041,36,31.4 - 49.8
"VA, Pulaski",2020,Virginia,VA,Pulaski County,51155,35.6,31.4 - 49.8
"VA, Alleghany",2022,Virginia,VA,Alleghany County,51005,35.4,31.4 - 49.8
"VA, Chesterfield",2021,Virginia,VA,Chesterfield County,51041,35.4,31.4 - 49.8
"VA, Wythe",2023,Virginia,VA,Wythe County,51197,35.3,31.4 - 49.8
"VA, Arlington",2019,Virginia,VA,Arlington County,51013,35.2,31.4 - 49.8
"VA, Suffolk City",2023,Virginia,VA,Suffolk city,51800,35.2,31.4 - 49.8
"VA, Waynesboro City",2023,Virginia,VA,Waynesboro city,51820,34.9,31.4 - 49.8
"VA, Fauquier",2019,Virginia,VA,Fauquier County,51061,34.8,31.4 - 49.8
"VA, James City",2023,Virginia,VA,James City County,51095,34.8,31.4 - 49.8
"VA, Nottoway",2019,Virginia,VA,Nottoway County,51135,34.8,31.4 - 49.8
"VA, James City",2021,Virginia,VA,James City County,51095,34.5,31.4 - 49.8
"VA, James City",2022,Virginia,VA,James City County,51095,34.4,31.4 - 49.8
"VA, Petersburg City",2023,Virginia,VA,Petersburg city,51730,34.4,31.4 - 49.8
"VA, Virginia Beach City",2021,Virginia,VA,Virginia Beach city,51810,34.4,31.4 - 49.8
"VA, Pulaski",2021,Virginia,VA,Pulaski County,51155,34.2,31.4 - 49.8
"VA, Gloucester",2019,Virginia,VA,Gloucester County,51073,33.9,31.4 - 49.8
"VA, Augusta",2022,Virginia,VA,Augusta County,51015,33.8,31.4 - 49.8
"VA, Hopewell City",2023,Virginia,VA,Hopewell city,51670,33.7,31.4 - 49.8
"VA, Chesapeake City",2022,Virginia,VA,Chesapeake city,51550,33.6,31.4 - 49.8
"VA, Page",2021,Virginia,VA,Page County,51139,33.5,31.4 - 49.8
"VA, Pulaski",2022,Virginia,VA,Pulaski County,51155,33.4,31.4 - 49.8
"VA, Smyth",2023,Virginia,VA,Smyth County,51173,33.4,31.4 - 49.8
"VA, Amherst",2020,Virginia,VA,Amherst County,51009,33.3,31.4 - 49.8
"VA, Amherst",2021,Virginia,VA,Amherst County,51009,33.3,31.4 - 49.8
"VA, Albemarle",2021,Virginia,VA,Albemarle County,51003,33.2,31.4 - 49.8
"VA, Arlington",2021,Virginia,VA,Arlington County,51013,33.1,31.4 - 49.8
"VA, Pulaski",2023,Virginia,VA,Pulaski County,51155,32.6,31.4 - 49.8
"VA, Wythe",2022,Virginia,VA,Wythe County,51197,32.6,31.4 - 49.8
"VA, Fauquier",2020,Virginia,VA,Fauquier County,51061,32.4,31.4 - 49.8
"VA, Hampton City",2019,Virginia,VA,Hampton city,51650,32.3,31.4 - 49.8
"VA, Fauquier",2021,Virginia,VA,Fauquier County,51061,32,31.4 - 49.8
"VA, Essex",2021,Virginia,VA,Essex County,51057,31.8,31.4 - 49.8
"VA, Nottoway",2020,Virginia,VA,Nottoway County,51135,31.7,31.4 - 49.8
"VA, Giles",2019,Virginia,VA,Giles County,51071,31.6,31.4 - 49.8
"VA, Chesterfield",2022,Virginia,VA,Chesterfield County,51041,31.5,31.4 - 49.8
"VA, Arlington",2020,Virginia,VA,Arlington County,51013,31.3,18.1 - 31.3
"VA, Augusta",2023,Virginia,VA,Augusta County,51015,31.1,18.1 - 31.3
"VA, Virginia Beach City",2022,Virginia,VA,Virginia Beach city,51810,31.1,18.1 - 31.3
"VA, Spotsylvania",2019,Virginia,VA,Spotsylvania County,51177,30.9,18.1 - 31.3
"VA, Bristol City",2021,Virginia,VA,Bristol city,51520,30.9,18.1 - 31.3
"VA, Alleghany",2023,Virginia,VA,Alleghany County,51005,30.8,18.1 - 31.3
"VA, Culpeper",2021,Virginia,VA,Culpeper County,51047,30.7,18.1 - 31.3
"VA, Amherst",2019,Virginia,VA,Amherst County,51009,30.5,18.1 - 31.3
"VA, Albemarle",2022,Virginia,VA,Albemarle County,51003,30.3,18.1 - 31.3
"VA, Bristol City",2019,Virginia,VA,Bristol city,51520,30,18.1 - 31.3
"VA, Chesapeake City",2023,Virginia,VA,Chesapeake city,51550,30,18.1 - 31.3
"VA, Chesterfield",2023,Virginia,VA,Chesterfield County,51041,29.9,18.1 - 31.3
"VA, Virginia Beach City",2023,Virginia,VA,Virginia Beach city,51810,29.6,18.1 - 31.3
"VA, Falls Church City",2019,Virginia,VA,Falls Church city,51610,29.2,18.1 - 31.3
"VA, Carroll",2022,Virginia,VA,Carroll County,51035,28.7,18.1 - 31.3
"VA, Fauquier",2022,Virginia,VA,Fauquier County,51061,28.6,18.1 - 31.3
"VA, Nottoway",2021,Virginia,VA,Nottoway County,51135,28.2,18.1 - 31.3
"VA, Fauquier",2023,Virginia,VA,Fauquier County,51061,27.9,18.1 - 31.3
"VA, Page",2023,Virginia,VA,Page County,51139,27.9,18.1 - 31.3
"VA, Fairfax",2019,Virginia,VA,Fairfax County,51059,27.8,18.1 - 31.3
"VA, Albemarle",2023,Virginia,VA,Albemarle County,51003,27.7,18.1 - 31.3
"VA, Page",2022,Virginia,VA,Page County,51139,27.6,18.1 - 31.3
"VA, Nottoway",2022,Virginia,VA,Nottoway County,51135,27.5,18.1 - 31.3
"VA, Buena Vista City",2019,Virginia,VA,Buena Vista city,51530,27.4,18.1 - 31.3
"VA, Arlington",2022,Virginia,VA,Arlington County,51013,27.2,18.1 - 31.3
"VA, Hampton City",2020,Virginia,VA,Hampton city,51650,26.9,18.1 - 31.3
"VA, Fairfax",2020,Virginia,VA,Fairfax County,51059,26.5,18.1 - 31.3
